release_year,album_type,album_name,track_name,bpm,number_of_streams,total_time_played,total_time_played_h,average_ms_played,average_ms_played_min,song_length_min,avg_percent_song_played
2022,Mini Album,MAXIDENT,Give Me Your TMI,98,27,5348674,1:29:09,198099.04,3:18,3:18,100
2022,Mini Album,MAXIDENT,SUPER BOARD,103,87,15748365,4:22:28,181015.69,3:01,3:05,98
2022,Mini Album,MAXIDENT,TASTE (Lee Know/Hyunjin/Felix),140,30,6054717,1:40:55,201823.90,3:22,3:36,94
2022,Mini Album,ODDINARY,Charmer,91,74,13931933,3:52:12,188269.36,3:08,3:08,100
2022,Mini Album,ODDINARY,FREEZE,160,31,5267197,1:27:47,169909.58,2:50,2:58,96
2022,Mini Album,ODDINARY,Lonely St.,90,144,23245712,6:27:26,161428.56,2:41,2:44,98
2022,Mini Album,ODDINARY,MANIAC,120,136,24546323,6:49:06,180487.67,3:00,3:02,99
2022,Mini Album,ODDINARY,Muddy Water (Changbin/Hyunjin/HAN/Felix),90,25,4741235,1:19:01,189649.40,3:10,3:17,96
2022,Mini Album,ODDINARY,VENOM,137,79,14954497,4:09:14,189297.43,3:09,3:14,97
2022,Mini Album,ODDINARY,Waiting For Us (Bang Chan/Lee Know/Seungmin/I.N),88,29,5987795,1:39:48,206475.69,3:26,3:39,94
2022,Single,JUST BREATHE - feat. 3RACHA of Stray Kids,JUST BREATHE - feat. 3RACHA of Stray Kids,113,22,4941913,1:22:22,224632.41,3:45,3:50,98
2022,Single,Mixtape - Time Out,Mixtape - Time Out,160,65,10728071,2:58:48,165047.25,2:45,2:55,94
2022,Soundtrack,Love in Contact Pt.3 (Original Television Soundtrack),Close to You,70,27,6066384,1:41:06,224680.89,3:45,3:48,99
2022,Soundtrack,Love in Contact Pt.3 (Original Television Soundtrack),Close to You - Instrumental,140,25,5713475,1:35:13,228539.00,3:49,3:48,100
2022,Soundtrack,Street Man Fighter Original Vol.4 (Crew Songs),HEYDAY (Prod. Czaer),138,26,3764098,1:02:44,144773.00,2:24,2:24,100
2023,Mini Album,ROCK-STAR,BLIND SPOT,196,98,18619623,5:10:20,189996.15,3:10,3:20,95
2023,Mini Album,ROCK-STAR,COMFLEX,110,43,7405906,2:03:26,172230.37,2:52,2:52,100
2023,Mini Album,ROCK-STAR,Cover Me,174,107,20408542,5:40:09,190734.04,3:11,3:11,100
2023,Mini Album,ROCK-STAR,LALALALA,126,107,18910638,5:15:11,176734.93,2:57,3:02,97
2023,Mini Album,ROCK-STAR,LALALALA (Rock Ver.),126,36,6753131,1:52:33,187586.97,3:07,3:07,100
2023,Mini Album,ROCK-STAR,Leave,110,92,19888680,5:31:29,216181.30,3:36,3:39,99
2023,Mini Album,ROCK-STAR,MEGAVERSE,160,154,28035301,7:47:15,182047.41,3:02,3:05,98
2023,Mini Album,ROCK-STAR,Social Path (Feat. LiSA) (Korean Ver.),172,37,7294152,2:01:34,197139.24,3:17,3:17,100
2023,Remix,All My Life (Remixes),All My Life (Stray Kids Remix),143,37,7836208,2:10:36,211789.41,3:32,3:37,98
2023,Single,Social Path,Butterflies,80,36,6864409,1:54:24,190678.03,3:10,3:10,100
2023,Single,Social Path,Butterflies (Instrumental),160,37,6783500,1:53:03,183337.84,3:03,3:09,97
2023,Single,Social Path,Social Path,172,154,29632226,8:13:52,192417.05,3:12,3:18,97
2023,Single,Social Path,Social Path (Instrumental),172,36,7153392,1:59:13,198705.33,3:18,3:18,100
2023,Single,Social Path,Super Bowl -Japanese ver.-,80,37,6665036,1:51:05,180136.11,3:00,3:05,97
2023,Studio Album,5-STAR,Collision,150,37,5813151,1:36:53,157112.19,2:37,2:37,100
2023,Studio Album,5-STAR,DLC,110,38,7064256,1:57:44,185901.47,3:06,3:06,100
2023,Studio Album,5-STAR,FNF,127,36,6177508,1:42:58,171597.44,2:51,2:51,100
2023,Studio Album,5-STAR,GET LIT,100,41,6839240,1:53:59,166810.73,2:47,2:51,98
2023,Studio Album,5-STAR,Hall of Fame,160,41,6835065,1:53:55,166708.90,2:47,2:51,98
2023,Studio Album,5-STAR,ITEM,162,81,15321150,4:15:21,189150.00,3:09,3:11,99
2023,Studio Album,5-STAR,S-Class,105,158,30199453,8:23:19,191135.78,3:11,3:15,98
2023,Studio Album,5-STAR,Super Bowl,80,41,7505635,2:05:06,183064.27,3:03,3:03,100
2023,Studio Album,5-STAR,THE SOUND (Korean Ver.),188,37,6140762,1:42:21,165966.54,2:46,2:58,93
2023,Studio Album,5-STAR,TOPLINE (Feat. Tiger JK),90,156,30322272,8:25:22,194373.54,3:14,3:23,96
2023,Studio Album,5-STAR,Youtiful,67,37,7737333,2:08:57,209117.11,3:29,3:29,100
2023,Studio Album,THE SOUND,Battle Ground,180,38,7716626,2:08:37,203069.11,3:23,3:33,95
2023,Studio Album,THE SOUND,CASE 143 -Japanese ver.-,100,37,6742954,1:52:23,182242.00,3:02,3:13,94
2023,Studio Album,THE SOUND,CHILL -Japanese ver.-,96,34,6701172,1:51:41,197093.29,3:17,3:18,99
2023,Studio Album,THE SOUND,DLMLU,140,36,7008201,1:56:48,194672.25,3:14,3:14,100
2023,Studio Album,THE SOUND,Lost Me,86,37,6994601,1:56:35,189043.27,3:09,3:09,100
2023,Studio Album,THE SOUND,Novel,105,36,6795748,1:53:16,188770.78,3:08,3:08,100
2023,Studio Album,THE SOUND,THE SOUND,188,38,6860818,1:54:21,180547.84,3:01,3:00,100
2023,Studio Album,THE SOUND,There,80,34,7189012,1:59:49,211441.53,3:31,3:35,98
2023,Studio Album,THE SOUND,Thunderous -Japanese ver.-,172,53,9686767,2:41:27,182769.19,3:03,3:04,99
2024,Mini Album,ATE,Chk Chk Boom,102,419,60879757,16:54:40,145297.75,2:25,2:28,98
2024,Mini Album,ATE,Chk Chk Boom (Festival Ver.),123,304,44599848,12:23:20,146710.03,2:27,2:33,96
2024,Mini Album,ATE,I Like It,145,350,50936826,14:08:57,145533.79,2:26,2:28,99
2024,Mini Album,ATE,JJAM,170,382,69123755,19:12:04,180952.24,3:01,3:05,98
2024,Mini Album,ATE,MOUNTAINS,180,401,70828056,19:40:28,176628.57,2:57,3:07,95
2024,Mini Album,ATE,Runners,160,286,55314269,15:21:54,193406.53,3:13,3:16,98
2024,Mini Album,ATE,Stray Kids,160,291,53990630,14:59:51,185534.81,3:06,3:09,98
2024,Mini Album,ATE,twilight,65,234,43911619,12:11:52,187656.49,3:08,3:12,98
2024,Single,GOLD,VAY (Feat. Changbin of Stray Kids),95,43,6606257,1:50:06,153633.88,2:34,2:41,96
2024,Mixtape,HOP,As we are (Seungmin),144,264,55295531,15:21:36,209452.77,3:29,3:33,98
2024,Mixtape,HOP,Bounce Back,98,275,50040765,13:54:01,181966.42,3:02,3:03,99
2024,Mixtape,HOP,HALLUCINATION (I.N),166,332,53805892,14:56:46,162065.94,2:42,2:43,99
2024,Mixtape,HOP,Hold my hand (HAN),160,330,57351500,15:55:51,173792.42,2:54,2:59,97
2024,Mixtape,HOP,Railway (Bang Chan),118,341,58111334,16:08:31,170414.47,2:50,2:53,98
2024,Mixtape,HOP,So Good (Hyunjin),94,272,45447624,12:37:28,167086.85,2:47,2:48,99
2024,Mixtape,HOP,U (Feat. TABLO),81,342,54910079,15:15:10,160555.79,2:41,2:43,99
2024,Mixtape,HOP,ULTRA (Changbin),180,331,47796919,13:16:37,144401.57,2:24,2:27,98
2024,Mixtape,HOP,Unfair (Felix),92,57,8874277,2:27:54,155689.07,2:36,2:48,93
2024,Mixtape,HOP,Walkin On Water,190,458,66579280,18:29:39,145369.61,2:25,2:28,98
2024,Mixtape,HOP,Walkin On Water (HIP Ver.),102,275,46564257,12:56:04,169324.57,2:49,2:55,97
2024,Mixtape,HOP,Youth (Lee Know),110,278,43750043,12:09:10,157374.26,2:37,2:40,98
2024,Promo Single,Like Magic,Like Magic,170,34,5575044,1:32:55,163971.88,2:44,2:44,100
2024,Promo Single,Like Magic,Like Magic (Instrumental),170,32,5128210,1:25:28,160256.56,2:40,2:44,98
2024,Remix,Chk Chk Boom (Remixes),Chk Chk Boom (Deadeye Ver.),110,41,5515378,1:31:55,134521.41,2:14,2:14,100
2024,Remix,Chk Chk Boom (Remixes),Chk Chk Boom (Heatwave Ver.),200,41,5752552,1:35:53,140306.15,2:20,2:20,100
2024,Remix,Chk Chk Boom (Remixes),Chk Chk Boom (Instrumental),102,40,5922040,1:38:42,148051.00,2:28,2:28,100
2024,Remix,Lose My Breath (Remixes),Lose My Breath (Feat. Charlie Puth) (Soft Garage Ver.),133,43,7577436,2:06:17,176219.44,2:56,3:17,89
2024,Remix,Lose My Breath (Remixes),Lose My Breath (Stray Kids Ver.),133,44,7121442,1:58:41,161850.95,2:42,2:46,98
